factura_numero,fecha_venta,local_codigo,total_bruto,total_impuestos,total_neto,comprobante,hora_transaccion
10042,2023-01-05,L002,76.42,6.95,69.47,BE-10042,18:43:35
10043,2023-01-05,L003,289.30,26.30,263.00,BE-10043,16:57:34
10044,2023-01-05,L003,468.03,42.55,425.48,BE-10044,19:06:48
10045,2023-01-06,L001,470.60,42.78,427.82,BE-10045,12:42:22
10046,2023-01-06,L001,126.12,11.47,114.65,BE-10046,11:39:12
10047,2023-01-06,L002,257.70,23.43,234.27,BE-10047,19:17:06
10048,2023-01-06,L002,282.88,25.72,257.16,BE-10048,12:17:45
10049,2023-01-06,L002,349.77,31.80,317.97,BE-10049,20:24:43
10050,2023-01-06,L002,117.12,10.65,106.47,BE-10050,17:35:38
10051,2023-01-06,L003,121.66,11.06,110.60,BE-10051,17:10:30
10052,2023-01-06,L003,383.39,34.85,348.54,BE-10052,10:30:15
10053,2023-01-06,L003,216.46,19.68,196.78,BE-10053,17:50:48
10054,2023-01-06,L003,243.72,22.16,221.56,BE-10054,17:58:47
10055,2023-01-07,L001,536.02,48.73,487.29,BE-10055,20:13:16
10056,2023-01-07,L001,292.51,26.59,265.92,BE-10056,11:55:53
10057,2023-01-07,L001,235.83,21.44,214.39,BE-10057,10:32:03
10058,2023-01-07,L001,417.98,38.00,379.98,BE-10058,15:09:02
10059,2023-01-07,L002,539.01,49.00,490.01,BE-10059,12:40:22
10060,2023-01-07,L003,440.36,40.03,400.33,BE-10060,16:03:51
10061,2023-01-07,L003,339.83,30.89,308.94,BE-10061,21:33:52
10062,2023-01-08,L002,453.61,41.24,412.37,BE-10062,19:10:46
10063,2023-01-08,L002,292.90,26.63,266.27,BE-10063,13:50:10
10064,2023-01-08,L002,507.99,46.18,461.81,BE-10064,21:03:11
10065,2023-01-08,L002,185.06,16.82,168.24,BE-10065,14:43:22
10066,2023-01-08,L002,506.59,46.05,460.54,BE-10066,15:50:21
10067,2023-01-08,L003,534.71,48.61,486.10,BE-10067,20:50:47
10068,2023-01-08,L003,117.77,10.71,107.06,BE-10068,21:54:27
10069,2023-01-08,L003,541.78,49.25,492.53,BE-10069,20:36:45
10070,2023-01-09,L001,144.94,13.18,131.76,BE-10070,10:57:12
10071,2023-01-09,L001,301.77,27.43,274.34,BE-10071,17:24:29
10072,2023-01-09,L003,414.91,37.72,377.19,BE-10072,10:55:36
10073,2023-01-10,L001,345.74,31.43,314.31,BE-10073,21:01:10
10074,2023-01-10,L001,318.81,28.98,289.83,BE-10074,12:11:45
10075,2023-01-10,L001,508.79,46.25,462.54,BE-10075,15:14:37
10076,2023-01-10,L001,430.73,39.16,391.57,BE-10076,16:27:44
10077,2023-01-10,L002,133.41,12.13,121.28,BE-10077,15:18:12
10078,2023-01-10,L002,414.60,37.69,376.91,BE-10078,15:51:25
10079,2023-01-10,L002,440.92,40.08,400.84,BE-10079,16:01:24
10080,2023-01-10,L002,64.47,5.86,58.61,BE-10080,14:35:12
10081,2023-01-10,L002,248.45,22.59,225.86,BE-10081,20:06:00
10082,2023-01-10,L003,429.87,39.08,390.79,BE-10082,20:38:16
10083,2023-01-10,L003,337.54,30.69,306.85,BE-10083,21:59:49
10084,2023-01-10,L003,200.18,18.20,181.98,BE-10084,16:27:02
10085,2023-01-11,L001,318.45,28.95,289.50,BE-10085,11:41:37
10086,2023-01-11,L001,220.11,20.01,200.10,BE-10086,20:04:18
10087,2023-01-11,L001,446.70,40.61,406.09,BE-10087,13:28:03
10088,2023-01-11,L001,328.29,29.84,298.45,BE-10088,21:00:05
10089,2023-01-11,L002,525.15,47.74,477.41,BE-10089,17:56:47
10090,2023-01-11,L002,306.66,27.88,278.78,BE-10090,10:46:06
10091,2023-01-11,L002,436.11,39.65,396.46,BE-10091,14:00:23
10092,2023-01-11,L002,547.47,49.77,497.70,BE-10092,13:42:27
10093,2023-01-11,L003,336.99,30.64,306.35,BE-10093,14:41:26
10094,2023-01-11,L003,266.68,24.24,242.44,BE-10094,12:41:56
10095,2023-01-11,L003,323.00,29.36,293.64,BE-10095,10:58:04
10096,2023-01-11,L003,285.74,25.98,259.76,BE-10096,13:13:17
10097,2023-01-12,L001,196.38,17.85,178.53,BE-10097,12:43:03
10098,2023-01-12,L001,404.83,36.80,368.03,BE-10098,20:54:59
10099,2023-01-12,L001,430.29,39.12,391.17,BE-10099,13:37:27
10100,2023-01-12,L001,28.92,2.63,26.29,BE-10100,12:00:58
10101,2023-01-12,L002,101.51,9.23,92.28,BE-10101,13:58:30
10102,2023-01-13,L001,311.11,28.28,282.83,BE-10102,13:33:38
10103,2023-01-13,L001,236.15,21.47,214.68,BE-10103,17:23:30
10104,2023-01-13,L001,418.56,38.05,380.51,BE-10104,19:17:04
10105,2023-01-13,L001,458.67,41.70,416.97,BE-10105,13:11:08
10106,2023-01-13,L001,289.61,26.33,263.28,BE-10106,15:00:25
10107,2023-01-13,L002,195.83,17.80,178.03,BE-10107,19:40:03
10108,2023-01-13,L002,451.71,41.06,410.65,BE-10108,16:25:16
10109,2023-01-13,L003,120.59,10.96,109.63,BE-10109,17:27:06
10110,2023-01-13,L003,184.72,16.79,167.93,BE-10110,13:37:35
10111,2023-01-13,L003,442.99,40.27,402.72,BE-10111,19:40:02
10112,2023-01-13,L003,145.17,13.20,131.97,BE-10112,16:03:44
10113,2023-01-14,L002,134.67,12.24,122.43,BE-10113,18:41:55
10114,2023-01-14,L002,376.35,34.21,342.14,BE-10114,20:38:46
10115,2023-01-14,L002,445.10,40.46,404.64,BE-10115,21:34:50
10116,2023-01-14,L003,409.74,37.25,372.49,BE-10116,12:22:39
10117,2023-01-15,L003,498.74,45.34,453.40,BE-10117,11:24:15
10118,2023-01-15,L003,24.51,2.23,22.28,BE-10118,12:35:47
10119,2023-01-15,L003,320.16,29.11,291.05,BE-10119,13:36:26
10120,2023-01-16,L001,361.74,32.89,328.85,BE-10120,11:06:20
10121,2023-01-16,L002,98.19,8.93,89.26,BE-10121,13:41:47
10122,2023-01-16,L002,385.41,35.04,350.37,BE-10122,12:50:56
10123,2023-01-16,L002,257.73,23.43,234.30,BE-10123,12:29:01
10124,2023-01-17,L003,208.71,18.97,189.74,BE-10124,19:14:24
10125,2023-01-17,L003,151.49,13.77,137.72,BE-10125,18:33:20
10126,2023-01-17,L003,257.40,23.40,234.00,BE-10126,14:16:38
10127,2023-01-17,L003,242.62,22.06,220.56,BE-10127,14:29:33
10128,2023-01-17,L003,41.30,3.75,37.55,BE-10128,14:57:41
10129,2023-01-18,L001,497.26,45.21,452.05,BE-10129,20:35:53
10130,2023-01-18,L001,304.84,27.71,277.13,BE-10130,13:14:00
10131,2023-01-18,L001,37.45,3.40,34.05,BE-10131,13:34:45
10132,2023-01-18,L001,266.81,24.26,242.55,BE-10132,17:47:28
10133,2023-01-18,L001,337.21,30.66,306.55,BE-10133,21:07:47
10134,2023-01-18,L002,426.14,38.74,387.40,BE-10134,13:53:39
10135,2023-01-18,L002,443.38,40.31,403.07,BE-10135,11:08:16
10136,2023-01-18,L002,256.89,23.35,233.54,BE-10136,14:42:32
10137,2023-01-18,L002,64.36,5.85,58.51,BE-10137,16:39:15
10138,2023-01-18,L002,150.58,13.69,136.89,BE-10138,19:06:26
10139,2023-01-18,L003,516.73,46.98,469.75,BE-10139,19:20:09
10140,2023-01-18,L003,197.14,17.92,179.22,BE-10140,21:01:00
10141,2023-01-18,L003,72.93,6.63,66.30,BE-10141,11:53:38
10142,2023-01-19,L001,263.93,23.99,239.94,BE-10142,15:09:04
10143,2023-01-19,L001,112.35,10.21,102.14,BE-10143,18:30:32
10144,2023-01-19,L001,288.30,26.21,262.09,BE-10144,14:34:35
10145,2023-01-19,L003,133.80,12.16,121.64,BE-10145,11:43:43
10146,2023-01-19,L003,336.44,30.59,305.85,BE-10146,19:12:52
10147,2023-01-19,L003,405.45,36.86,368.59,BE-10147,17:41:40
10148,2023-01-19,L003,395.55,35.96,359.59,BE-10148,17:41:08
10149,2023-01-20,L001,157.56,14.32,143.24,BE-10149,21:46:11
10150,2023-01-20,L001,363.17,33.02,330.15,BE-10150,16:58:22
10151,2023-01-20,L002,266.44,24.22,242.22,BE-10151,20:16:27
10152,2023-01-20,L003,249.19,22.65,226.54,BE-10152,15:19:14
10153,2023-01-20,L003,177.47,16.13,161.34,BE-10153,20:30:20
10154,2023-01-20,L003,121.04,11.00,110.04,BE-10154,12:29:56
10155,2023-01-20,L003,93.83,8.53,85.30,BE-10155,10:42:31
10156,2023-01-20,L003,205.49,18.68,186.81,BE-10156,20:21:46
10157,2023-01-21,L003,538.81,48.98,489.83,BE-10157,20:27:25
10158,2023-01-22,L001,148.63,13.51,135.12,BE-10158,15:46:33
10159,2023-01-22,L001,480.74,43.70,437.04,BE-10159,16:39:42
10160,2023-01-22,L001,462.92,42.08,420.84,BE-10160,10:09:32
10161,2023-01-22,L001,188.07,17.10,170.97,BE-10161,14:59:46
10162,2023-01-22,L003,209.29,19.03,190.26,BE-10162,10:21:08
10163,2023-01-23,L001,476.04,43.28,432.76,BE-10163,10:25:03
10164,2023-01-23,L001,232.46,21.13,211.33,BE-10164,12:23:49
10165,2023-01-23,L001,340.02,30.91,309.11,BE-10165,16:09:23
10166,2023-01-23,L001,249.66,22.70,226.96,BE-10166,10:52:21
10167,2023-01-23,L001,492.72,44.79,447.93,BE-10167,20:12:27
10168,2023-01-23,L002,140.21,12.75,127.46,BE-10168,13:26:01
10169,2023-01-23,L002,331.29,30.12,301.17,BE-10169,20:26:20
10170,2023-01-23,L003,322.37,29.31,293.06,BE-10170,21:14:38
10171,2023-01-23,L003,203.85,18.53,185.32,BE-10171,10:30:01
10172,2023-01-23,L003,227.07,20.64,206.43,BE-10172,21:25:42
10173,2023-01-24,L001,254.96,23.18,231.78,BE-10173,20:24:50
10174,2023-01-24,L001,298.20,27.11,271.09,BE-10174,10:31:15
10175,2023-01-24,L001,186.91,16.99,169.92,BE-10175,17:17:33
10176,2023-01-24,L001,64.79,5.89,58.90,BE-10176,16:22:33
10177,2023-01-24,L001,226.35,20.58,205.77,BE-10177,10:23:56
10178,2023-01-24,L003,299.82,27.26,272.56,BE-10178,17:59:01
10179,2023-01-24,L003,347.39,31.58,315.81,BE-10179,20:39:59
10180,2023-01-24,L003,316.00,28.73,287.27,BE-10180,19:16:56
10181,2023-01-24,L003,74.84,6.80,68.04,BE-10181,21:41:51
10182,2023-01-25,L001,291.81,26.53,265.28,BE-10182,13:34:42
10183,2023-01-26,L001,109.90,9.99,99.91,BE-10183,19:24:42
10184,2023-01-26,L001,86.56,7.87,78.69,BE-10184,21:44:04
10185,2023-01-26,L001,286.85,26.08,260.77,BE-10185,11:13:38
10186,2023-01-27,L001,432.48,39.32,393.16,BE-10186,16:43:07
10187,2023-01-27,L002,114.70,10.43,104.27,BE-10187,13:12:57
10188,2023-01-27,L002,341.09,31.01,310.08,BE-10188,10:10:31
10189,2023-01-27,L002,393.60,35.78,357.82,BE-10189,10:02:45
10190,2023-01-27,L002,297.29,27.03,270.26,BE-10190,14:49:55
10191,2023-01-27,L003,57.44,5.22,52.22,BE-10191,21:14:18
10192,2023-01-27,L003,299.90,27.26,272.64,BE-10192,21:51:35
10193,2023-01-27,L003,294.79,26.80,267.99,BE-10193,17:48:29
10194,2023-01-27,L003,118.56,10.78,107.78,BE-10194,18:42:00
10195,2023-01-28,L001,164.69,14.97,149.72,BE-10195,11:25:08
10196,2023-01-28,L001,500.47,45.50,454.97,BE-10196,20:32:15
10197,2023-01-28,L001,240.77,21.89,218.88,BE-10197,12:48:57
10198,2023-01-28,L001,372.22,33.84,338.38,BE-10198,13:07:41
10199,2023-01-28,L001,256.85,23.35,233.50,BE-10199,15:39:00
10200,2023-01-28,L002,137.71,12.52,125.19,BE-10200,20:14:20
10201,2023-01-28,L002,88.12,8.01,80.11,BE-10201,18:51:11
10202,2023-01-28,L002,61.92,5.63,56.29,BE-10202,15:18:02
10203,2023-01-28,L002,512.66,46.61,466.05,BE-10203,12:11:26
10204,2023-01-28,L002,410.77,37.34,373.43,BE-10204,20:31:05
10205,2023-01-29,L001,297.12,27.01,270.11,BE-10205,16:13:26
10206,2023-01-29,L002,208.71,18.97,189.74,BE-10206,20:08:14
10207,2023-01-29,L003,357.42,32.49,324.93,BE-10207,21:35:54
10208,2023-01-29,L003,354.27,32.21,322.06,BE-10208,18:51:04
10209,2023-01-29,L003,369.04,33.55,335.49,BE-10209,21:16:09
10210,2023-01-29,L003,395.06,35.91,359.15,BE-10210,17:28:29
10211,2023-01-29,L003,338.82,30.80,308.02,BE-10211,17:49:22
10212,2023-01-30,L001,436.73,39.70,397.03,BE-10212,21:15:37
10213,2023-01-30,L001,273.56,24.87,248.69,BE-10213,12:36:06
10214,2023-01-30,L001,313.89,28.54,285.35,BE-10214,11:13:46
10215,2023-01-30,L001,31.27,2.84,28.43,BE-10215,14:19:20
10216,2023-01-30,L001,358.14,32.56,325.58,BE-10216,10:08:00
10217,2023-01-31,L001,478.98,43.54,435.44,BE-10217,17:19:40
10218,2023-01-31,L001,429.32,39.03,390.29,BE-10218,17:32:05
10219,2023-01-31,L001,39.57,3.60,35.97,BE-10219,18:21:50
10220,2023-01-31,L002,132.53,12.05,120.48,BE-10220,19:09:16
10221,2023-01-31,L002,181.65,16.51,165.14,BE-10221,17:40:10
10222,2023-01-31,L002,217.92,19.81,198.11,BE-10222,15:06:30
10223,2023-01-31,L002,493.87,44.90,448.97,BE-10223,20:39:55
10224,2023-01-31,L003,165.81,15.07,150.74,BE-10224,11:32:19
10225,2023-01-31,L003,142.73,12.98,129.75,BE-10225,13:13:29
10226,2023-02-01,L001,424.91,38.63,386.28,BE-10226,16:11:22
10227,2023-02-01,L002,205.67,18.70,186.97,BE-10227,21:32:57
10228,2023-02-01,L002,481.44,43.77,437.67,BE-10228,13:54:17
10229,2023-02-01,L002,278.43,25.31,253.12,BE-10229,20:12:28
10230,2023-02-01,L002,58.37,5.31,53.06,BE-10230,17:38:43
10231,2023-02-02,L002,268.29,24.39,243.90,BE-10231,17:28:40
10232,2023-02-02,L003,133.83,12.17,121.66,BE-10232,14:53:11
10233,2023-02-02,L003,231.83,21.08,210.75,BE-10233,14:40:59
10234,2023-02-03,L001,405.26,36.84,368.42,BE-10234,15:43:19
10235,2023-02-03,L001,473.53,43.05,430.48,BE-10235,15:15:41
10236,2023-02-03,L002,248.71,22.61,226.10,BE-10236,21:49:05
10237,2023-02-03,L002,439.65,39.97,399.68,BE-10237,20:18:59
10238,2023-02-03,L002,284.89,25.90,258.99,BE-10238,21:43:01
10239,2023-02-03,L002,127.20,11.56,115.64,BE-10239,16:15:07
10240,2023-02-03,L002,126.15,11.47,114.68,BE-10240,15:36:35
10241,2023-02-04,L001,405.92,36.90,369.02,BE-10241,20:45:28
10242,2023-02-04,L001,321.90,29.26,292.64,BE-10242,15:25:59
10243,2023-02-05,L002,93.92,8.54,85.38,BE-10243,12:05:05
10244,2023-02-05,L002,93.13,8.47,84.66,BE-10244,20:53:35
10245,2023-02-05,L002,93.79,8.53,85.26,BE-10245,13:15:12
10246,2023-02-06,L001,389.46,35.41,354.05,BE-10246,15:20:39
10247,2023-02-06,L002,468.52,42.59,425.93,BE-10247,20:51:37
10248,2023-02-06,L002,279.97,25.45,254.52,BE-10248,14:10:47
10249,2023-02-06,L002,146.36,13.31,133.05,BE-10249,19:26:38
10250,2023-02-06,L002,123.02,11.18,111.84,BE-10250,10:48:23
10251,2023-02-06,L003,60.08,5.46,54.62,BE-10251,12:14:26
10252,2023-02-06,L003,517.89,47.08,470.81,BE-10252,21:41:43
10253,2023-02-06,L003,101.58,9.23,92.35,BE-10253,11:43:03
10254,2023-02-06,L003,309.72,28.16,281.56,BE-10254,14:50:44
10255,2023-02-07,L001,137.20,12.47,124.73,BE-10255,20:13:39
10256,2023-02-07,L003,448.60,40.78,407.82,BE-10256,15:16:25
10257,2023-02-08,L001,468.14,42.56,425.58,BE-10257,15:09:51
10258,2023-02-08,L001,484.36,44.03,440.33,BE-10258,14:29:00
10259,2023-02-08,L001,31.33,2.85,28.48,BE-10259,18:45:33
10260,2023-02-08,L001,280.39,25.49,254.90,BE-10260,21:20:23
10261,2023-02-08,L002,248.95,22.63,226.32,BE-10261,14:47:09
10262,2023-02-08,L002,521.08,47.37,473.71,BE-10262,13:06:40
10263,2023-02-09,L001,284.33,25.85,258.48,BE-10263,13:50:21
10264,2023-02-09,L001,395.54,35.96,359.58,BE-10264,19:36:16
10265,2023-02-09,L001,443.96,40.36,403.60,BE-10265,11:13:07
10266,2023-02-09,L002,534.49,48.59,485.90,BE-10266,20:02:36
10267,2023-02-09,L002,82.93,7.54,75.39,BE-10267,17:27:27
10268,2023-02-09,L002,45.40,4.13,41.27,BE-10268,11:20:59
10269,2023-02-09,L002,351.54,31.96,319.58,BE-10269,14:09:14
10270,2023-02-09,L002,437.09,39.74,397.35,BE-10270,12:15:06
10271,2023-02-09,L003,504.54,45.87,458.67,BE-10271,20:00:07
10272,2023-02-09,L003,423.05,38.46,384.59,BE-10272,14:48:26
10273,2023-02-10,L002,278.39,25.31,253.08,BE-10273,15:31:52
10274,2023-02-10,L002,549.27,49.93,499.34,BE-10274,19:32:17
10275,2023-02-10,L002,361.11,32.83,328.28,BE-10275,20:22:26
10276,2023-02-10,L002,416.23,37.84,378.39,BE-10276,19:43:45
10277,2023-02-10,L002,467.24,42.48,424.76,BE-10277,20:19:17
10278,2023-02-11,L003,363.36,33.03,330.33,BE-10278,19:39:49
10279,2023-02-11,L003,479.90,43.63,436.27,BE-10279,20:52:54
10280,2023-02-12,L001,491.59,44.69,446.90,BE-10280,10:03:28
10281,2023-02-12,L001,143.44,13.04,130.40,BE-10281,19:31:22
10282,2023-02-12,L001,293.08,26.64,266.44,BE-10282,10:26:03
10283,2023-02-12,L001,531.25,48.30,482.95,BE-10283,13:03:18
10284,2023-02-12,L001,51.60,4.69,46.91,BE-10284,12:33:36
10285,2023-02-13,L001,286.19,26.02,260.17,BE-10285,15:24:29
10286,2023-02-13,L001,132.54,12.05,120.49,BE-10286,17:03:15
10287,2023-02-13,L001,308.81,28.07,280.74,BE-10287,18:50:14
10288,2023-02-13,L001,57.16,5.20,51.96,BE-10288,12:10:40
10289,2023-02-13,L001,513.59,46.69,466.90,BE-10289,11:39:04
10290,2023-02-13,L002,267.01,24.27,242.74,BE-10290,18:18:26
10291,2023-02-13,L002,502.43,45.68,456.75,BE-10291,11:17:34
10292,2023-02-13,L003,130.53,11.87,118.66,BE-10292,15:42:33
10293,2023-02-13,L003,257.91,23.45,234.46,BE-10293,19:16:01
10294,2023-02-13,L003,37.05,3.37,33.68,BE-10294,15:12:30
10295,2023-02-13,L003,237.46,21.59,215.87,BE-10295,16:15:45
10296,2023-02-13,L003,362.66,32.97,329.69,BE-10296,21:43:54
10297,2023-02-14,L001,220.02,20.00,200.02,BE-10297,11:31:25
10298,2023-02-14,L001,213.81,19.44,194.37,BE-10298,19:35:43
10299,2023-02-14,L002,73.04,6.64,66.40,BE-10299,15:15:53
10300,2023-02-14,L002,347.53,31.59,315.94,BE-10300,17:36:17
10301,2023-02-15,L001,81.32,7.39,73.93,BE-10301,17:18:41
10302,2023-02-15,L001,151.32,13.76,137.56,BE-10302,12:31:58
10303,2023-02-15,L001,450.59,40.96,409.63,BE-10303,16:36:04
10304,2023-02-15,L001,483.24,43.93,439.31,BE-10304,10:16:39
10305,2023-02-15,L002,156.19,14.20,141.99,BE-10305,15:06:43
10306,2023-02-15,L002,194.12,17.65,176.47,BE-10306,11:39:47
10307,2023-02-15,L003,423.41,38.49,384.92,BE-10307,18:23:19
10308,2023-02-15,L003,542.93,49.36,493.57,BE-10308,18:12:03
10309,2023-02-15,L003,257.24,23.39,233.85,BE-10309,13:36:31
10310,2023-02-15,L003,38.17,3.47,34.70,BE-10310,19:28:13
10311,2023-02-15,L003,136.09,12.37,123.72,BE-10311,18:03:08
10312,2023-02-16,L001,404.27,36.75,367.52,BE-10312,10:51:09
10313,2023-02-16,L001,433.85,39.44,394.41,BE-10313,20:55:44
10314,2023-02-16,L001,277.13,25.19,251.94,BE-10314,10:24:09
10315,2023-02-16,L002,136.82,12.44,124.38,BE-10315,19:40:54
10316,2023-02-16,L002,517.10,47.01,470.09,BE-10316,15:10:16
10317,2023-02-16,L002,456.06,41.46,414.60,BE-10317,16:41:14
10318,2023-02-16,L002,254.86,23.17,231.69,BE-10318,11:43:58
10319,2023-02-16,L003,129.64,11.79,117.85,BE-10319,18:01:31
10320,2023-02-17,L001,347.02,31.55,315.47,BE-10320,10:25:10
10321,2023-02-17,L003,239.84,21.80,218.04,BE-10321,16:16:37
10322,2023-02-17,L003,537.03,48.82,488.21,BE-10322,19:12:47
10323,2023-02-17,L003,221.71,20.16,201.55,BE-10323,14:29:46
10324,2023-02-18,L001,213.36,19.40,193.96,BE-10324,17:54:12
10325,2023-02-18,L001,438.57,39.87,398.70,BE-10325,10:33:29
10326,2023-02-18,L002,316.43,28.77,287.66,BE-10326,11:12:02
10327,2023-02-18,L002,451.04,41.00,410.04,BE-10327,21:39:54
10328,2023-02-18,L003,80.30,7.30,73.00,BE-10328,19:21:05
10329,2023-02-18,L003,351.87,31.99,319.88,BE-10329,14:45:14
10330,2023-02-18,L003,272.32,24.76,247.56,BE-10330,19:44:29
10331,2023-02-18,L003,275.81,25.07,250.74,BE-10331,16:05:40
10332,2023-02-18,L003,294.05,26.73,267.32,BE-10332,18:12:47
10333,2023-02-19,L001,242.09,22.01,220.08,BE-10333,12:54:16
10334,2023-02-19,L001,388.21,35.29,352.92,BE-10334,12:55:29
10335,2023-02-19,L001,148.33,13.48,134.85,BE-10335,12:21:13
10336,2023-02-19,L002,316.66,28.79,287.87,BE-10336,17:20:19
10337,2023-02-19,L003,323.68,29.43,294.25,BE-10337,12:44:15
10338,2023-02-19,L003,432.21,39.29,392.92,BE-10338,10:43:16
10339,2023-02-20,L001,321.98,29.27,292.71,BE-10339,11:49:40
10340,2023-02-20,L001,64.10,5.83,58.27,BE-10340,10:19:07
10341,2023-02-20,L001,542.66,49.33,493.33,BE-10341,14:17:47
10342,2023-02-20,L003,350.27,31.84,318.43,BE-10342,17:19:24
10343,2023-02-20,L003,273.99,24.91,249.08,BE-10343,21:12:14
10344,2023-02-20,L003,411.88,37.44,374.44,BE-10344,12:23:33
10345,2023-02-20,L003,61.06,5.55,55.51,BE-10345,21:37:05
10346,2023-02-20,L003,394.99,35.91,359.08,BE-10346,14:58:49
10347,2023-02-21,L001,243.85,22.17,221.68,BE-10347,13:27:31
10348,2023-02-21,L001,309.09,28.10,280.99,BE-10348,17:27:55
10349,2023-02-21,L002,342.79,31.16,311.63,BE-10349,18:11:32
10350,2023-02-21,L002,78.64,7.15,71.49,BE-10350,20:32:27
10351,2023-02-21,L002,63.80,5.80,58.00,BE-10351,17:05:58
10352,2023-02-22,L003,411.71,37.43,374.28,BE-10352,17:28:37
10353,2023-02-22,L003,182.17,16.56,165.61,BE-10353,13:10:18
10354,2023-02-22,L003,512.27,46.57,465.70,BE-10354,14:17:48
10355,2023-02-22,L003,107.51,9.77,97.74,BE-10355,14:07:56
10356,2023-02-22,L003,212.82,19.35,193.47,BE-10356,12:40:26
10357,2023-02-23,L002,42.05,3.82,38.23,BE-10357,11:02:58
10358,2023-02-23,L002,433.51,39.41,394.10,BE-10358,16:16:29
10359,2023-02-23,L002,160.18,14.56,145.62,BE-10359,11:24:00
10360,2023-02-23,L002,503.53,45.78,457.75,BE-10360,20:20:33
10361,2023-02-23,L002,483.23,43.93,439.30,BE-10361,12:40:45
10362,2023-02-24,L003,340.41,30.95,309.46,BE-10362,12:32:10
10363,2023-02-24,L003,399.00,36.27,362.73,BE-10363,21:27:06
10364,2023-02-24,L003,150.85,13.71,137.14,BE-10364,15:45:21
10365,2023-02-25,L002,70.96,6.45,64.51,BE-10365,14:09:26
10366,2023-02-26,L001,279.20,25.38,253.82,BE-10366,17:08:47
10367,2023-02-26,L001,469.95,42.72,427.23,BE-10367,13:40:01
10368,2023-02-26,L001,290.32,26.39,263.93,BE-10368,13:27:33
10369,2023-02-26,L001,396.84,36.08,360.76,BE-10369,18:38:05
10370,2023-02-26,L002,388.43,35.31,353.12,BE-10370,21:18:04
10371,2023-02-26,L002,497.56,45.23,452.33,BE-10371,16:27:46
10372,2023-02-26,L002,137.50,12.50,125.00,BE-10372,10:55:27
10373,2023-02-26,L002,354.75,32.25,322.50,BE-10373,11:43:38
10374,2023-02-26,L003,514.78,46.80,467.98,BE-10374,21:41:10
